Identificador,Nome,Linhas de Pesquisa,Membros de Corpo Editorial,Revisores de Periódico,Revisores de Projeto de Fomento,Áreas de Atuação
4411956765694711,José Wilson da Costa,"Sistema Interativo para resolução de sistemas lineares algébricos, Desenvolvimento de biblioteca de métodos numéricos para microcomputadores, Tecnologias da Informação e Educação",0,0,0,"Sistemas de Computação, Metodologia e Técnicas da Computação, Metodologia e Técnicas da Computação, Ensino-Aprendizagem, Informação Gerencial e Tecnológica"
4413241392232886,Angela Vieira Campos,Estudos Literários,0,0,0,"Literatura Brasileira, , Língua Portuguesa, Literatura Latino-americana"
4424382444944893,Gilcimar eustáquio da silva,,0,0,0,
4427972098460640,Leonardo Andrade Motta de Lima,,0,0,0,"Metodologia e Técnicas da Computação, Sistemas de Computação, Sistemas de Computação, Administração Educacional"
4431666751215021,Fabricio Teixeira Coura,,0,0,0,", Processos de Fabricação, Gestão Estratégica de Processos e Pessoas"
4432862799465667,Célio Sérgio Vieira,,0,0,0,
4437482309607209,Breno Ribeiro Marent,"Geomorfologia, Geomorfologia",0,0,0,"Geografia Física, Geografia Física, Meio Ambiente, Geocronologia, "
4445376135095677,Wellington Lopes,"Trabalhos de pesquisa para o doutorado, Trabalhos de pesquisa para o mestrado",0,0,0,"Metalurgia de Transformação, Metalurgia de Transformação, Metalurgia Física, Metalurgia Física, Processos de Fabricação, Metalurgia Física"
4446040933657175,Cristiano Amaral Maffort,,0,0,0,"Metodologia e Técnicas da Computação, Metodologia e Técnicas da Computação, Metodologia e Técnicas da Computação, Sistemas de Computação"
4451457264934035,Luiz Pinheiro da Guia,"Degradação química de rochas, Aplicações de Robótica móvel, Metodologia e estratégias de ensino e aprendizagem",0,0,0,"Construção Civil, Consolidação de rochas do patrimônio histórico, Degradação de rochas do patrimônio histórico, Tecnologia de Arquitetura e Urbanismo"
4470471388921783,Keilla Conceição Petrin Grande,,0,0,0,", Literatura Brasileira, Literatura Brasileira, Língua Portuguesa"
4476642168253767,Carlos Henrique Silva de Vasconcelos,,0,0,0,"Sistemas Elétricos de Potência, Eletrônica Industrial, Sistemas e Controles Eletrônicos, Sistemas Elétricos de Potência"
4508114212067029,Adelson Fernandes Moreira,Práticas Educativas em Ciência e Tecnologia,0,0,0,"Educação em Ciências, Educação Profissional"
4512576676091072,Juliano de Barros Veloso e Lima,,0,0,0,"Engenharia Mecatrônica, Engenharia Mecânica, Engenharia de Materiais e Metalúrgica, Propriedades Mecânicas dos Metais e Ligas, Método dos Elementos Finitos por Simulação Computacional - ANSYS, Ensaios Mecânicos e Análises Metalográficas"
4522639904342685,Tiago Honorato da Silva,,0,0,0,", Físico-Química, Físico-Química, Química Inorgânica, Engenharia Química"
4526568442081045,Tássio Spuri Barbosa,,0,0,0,
